id;nom_etab;type_etab;statut;email;latitude;longitude;matricule_etab
1;support purple neural;CFP;Prive;Raphal.Richard@yahoo.fr;55181;98272;redundant Corse portal
2;Salad;LyceeTechnique;Public;Jason.Berger83@hotmail.fr;50809;64942;full-range Stagiaire
3;toolset;CFP;Public;Amiel.Brun@yahoo.fr;27120;77967;online bricks-and-clicks
4;purple ADP virtual;LyceeTechnique;Prive;Clry.Leroux@gmail.com;17437;96810;Singapour Computers
5;line Bike Account;LyceeTechnique;Public;Ascelin31@gmail.com;73339;49965;visualize Paraguay
6;payment green purple;LyceeTechnique;Public;Isabeau.Poirier@yahoo.fr;36009;56700;intuitive ability
7;integrate;LyceeTechnique;Public;Aure.Nguyen@yahoo.fr;90269;35484;matrix FTP Pants
8;bandwidth;LyceeTechnique;Prive;Enguerrand.Carre@yahoo.fr;26517;8539;Music Account
9;bandwidth Frozen clear-thinking;CFP;Public;Aline25@gmail.com;55699;43605;Agent
10;strategy Savings;CFP;Public;Chantal35@gmail.com;1098;18703;quantifying
